flight_id,origin_city_id,destination_city_id,departure_time,arrival_time,airline_id,status,ErrorText
1315313,1046,1177,10/16/2016 09:50:00,10/16/2016 12:15:00,2,New flights,
1315314,1046,1177,10/16/2016 11:00:00,10/16/2016 13:00:00,2,New flights,
1315315,1046,1177,10/16/2016 12:15:00,10/16/2016 14:30:00,2,New flights,
1315368,1192,1046,10/16/2016 11:05:00,10/16/2016 15:30:00,2,New flights,
1315369,1192,1046,10/16/2016 11:15:00,10/16/2016 13:30:00,2,New flights,
1315371,1192,1046,10/16/2016 19:35:00,10/16/2016 22:10:00,2,New flights,
1315373,1192,1046,10/16/2016 07:20:00,10/16/2016 09:40:00,2,New flights,
1315374,1192,1046,10/16/2016 08:25:00,10/16/2016 10:45:00,2,New flights,
1315375,1192,1046,10/16/2016 12:15:00,10/16/2016 14:40:00,2,New flights,
1366327,1485,4206,10/15/2016 23:45:00,10/16/2016 09:00:00,2,New flights,
1366328,1485,5086,10/15/2016 20:35:00,10/16/2016 09:35:00,2,New flights,
1366329,1485,5086,10/15/2016 11:05:00,10/15/2016 23:00:00,2,New flights,
1350366,1335,3398,10/19/2016 20:45:00,10/20/2016 07:15:00,2,New flights,
1315376,1192,1046,10/16/2016 13:30:00,10/16/2016 15:50:00,2,New flights,
1315377,1192,1046,10/16/2016 14:40:00,10/16/2016 17:00:00,2,New flights,
1315464,152,117,10/16/2016 07:40:00,10/16/2016 10:08:00,2,New flights,
1315465,152,117,10/16/2016 08:40:00,10/16/2016 11:08:00,2,New flights,
1315466,152,117,10/16/2016 09:40:00,10/16/2016 12:08:00,2,New flights,
1315467,152,117,10/16/2016 10:40:00,10/16/2016 13:08:00,2,New flights,
1315468,152,117,10/16/2016 11:40:00,10/16/2016 14:08:00,2,New flights,
1315469,152,117,10/16/2016 12:40:00,10/16/2016 15:08:00,2,New flights,
1350367,1335,3398,10/19/2016 23:55:00,10/20/2016 22:10:00,2,New flights,
1366330,1485,5086,10/15/2016 14:05:00,10/16/2016 01:45:00,2,New flights,
1366331,1485,5086,10/15/2016 21:15:00,10/16/2016 09:50:00,2,New flights,
1366337,1485,3596,10/15/2016 19:15:00,10/16/2016 08:15:00,3,New flights,
1366336,1485,3596,10/15/2016 20:40:00,10/16/2016 08:20:00,2,New flights,
1366333,1485,3596,10/15/2016 18:00:00,10/16/2016 08:20:00,2,New flights,
1366334,1485,3596,10/15/2016 20:35:00,10/16/2016 11:55:00,2,New flights,
